,Edit-Distance Immediate Similarity Averages,Edit-Distance Full Similarity Averages,Jaccard Index Similarity (Method 1) Averages,Jaccard Index Similarity (Method 2) Averages,Longest Maximum Independent Set,Number of Maximum Cliques,Longest Maximum Clique
0,0.6528237604948657,0.4811542978415692,0.10302553929075403,0.32689692104729956,18.0,9000.0,2.0
1,0.7033493516156278,0.5563527108900073,0.07677953400831065,0.18544395764671237,14.0,9000.0,2.0
2,0.660643225201393,0.5829692631796998,0.04259335116393027,0.07320681527307582,17.0,10200.0,2.0
3,0.6258630179510747,0.48217508743258897,0.07806743705997053,0.16369377166022978,20.0,9600.0,3.0
4,0.6257371333505233,0.5075891976472293,0.062202714717529896,0.1258247228733236,16.0,9600.0,2.0
5,0.6604092061467438,0.5014910261338656,0.07778819481032055,0.18730045555537592,17.0,9000.0,2.0
6,0.6944886090484146,0.5196797626659966,0.08069929939857161,0.1781321660767159,18.0,10200.0,2.0
7,0.5840677600907805,0.4193711128243361,0.056809883610989036,0.11118419030981395,18.0,9000.0,3.0
8,0.5760637329655327,0.45891573904827754,0.04462615805453704,0.07406569289080289,15.0,9000.0,3.0
9,0.6270689542944403,0.5160300957458542,0.05438445627254956,0.09100818935803728,19.0,9000.0,3.0
10,0.6636860776518353,0.46265971947989093,0.1439585440709045,0.3905810572791303,17.0,10200.0,3.0
11,0.6100466130458403,0.41749290941288536,0.07034049228788543,0.11730212790565489,19.0,9600.0,3.0
12,0.7005884152304062,0.5678133857375275,0.08279403825625047,0.17363209280973432,15.0,9000.0,2.0
13,0.7419875801976505,0.6196259569409014,0.05882314926278825,0.14285657326560727,17.0,9000.0,3.0
14,0.685132172602618,0.5390779990055271,0.0484312466471976,0.09683303630799206,18.0,9600.0,3.0
15,0.6624310187754932,0.5134606781040538,0.06696527035203911,0.17953216256423937,15.0,10200.0,2.0
16,0.5082695672884999,0.4422220303796118,0.029453335828444036,0.057963163607894,17.0,9600.0,2.0
17,0.6624125980513508,0.5114145474479682,0.07975637784454882,0.13314629811440112,16.0,8400.0,3.0
18,0.5836113305777811,0.5574174852239543,0.014136408848830027,0.021848663336973047,15.0,9600.0,3.0
19,0.621051427974891,0.5037821745779779,0.04702117011880272,0.0752738099768633,19.0,9000.0,3.0
