,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Number of Maximal Cliques,Longest Maximal Clique
0,0.0,0.5839916297608447,0.31440914766564904,24,37440,3
1,0.0,0.924653413788004,0.3144091476656491,24,37440,3
2,0.0,0.0,0.0,24,37440,3
3,1.0,1.0,0.0,24,37440,3
4,0.0,0.20271899849783537,0.12568445708805678,24,37440,3
5,0.0,0.6419434952431453,0.12568445708805678,24,37440,3
6,0.0,0.0,0.0,24,37440,3
7,1.0,1.0,0.0,24,37440,3
8,0.0,0.18164355668357401,0.12728423275664544,24,37440,3
9,0.0,0.690245515397581,0.12728423275664544,24,37440,3
10,0.0,0.0,0.0,24,37440,3
11,1.0,1.0,0.0,24,37440,3
12,0.0,0.9035545581461492,0.6216985331351866,24,37440,3
13,0.0,0.7803425729444016,0.6216985331351866,24,37440,3
14,0.0,0.0,0.0,24,37440,3
15,1.0,1.0,0.0,24,37440,3
16,0.0,0.39967624277955505,0.21204460977627237,24,37440,3
17,0.0,0.4746155383007217,0.21204460977627232,24,37440,3
18,0.0,0.0,0.0,24,37440,3
19,1.0,1.0,0.0,24,37440,3
20,0.0,0.0,0.0,24,37440,3
21,1.0,1.0,0.0,24,37440,3
22,0.0,0.24087791521816349,0.1007350083606785,24,37440,3
23,0.0,0.9153360778290216,0.10073500836067847,24,37440,3
24,0.0,0.07892391637153728,0.04979756689314442,24,37440,3
25,0.0,0.7497772055296047,0.04979756689314442,24,37440,3
26,0.0,0.39967624277955505,0.21698795447403613,24,37440,3
27,0.0,0.5062565741874362,0.21698795447403613,24,37440,3
28,0.0,0.9525649475447593,0.6546015259999567,24,37440,3
29,0.0,0.8226697274250194,0.6546015259999565,24,37440,3
30,0.0,0.05202808443782503,0.04984648909435448,24,37440,3
31,0.0,0.4942668021593365,0.04984648909435448,24,37440,3
32,0.0,0.07044467189030024,0.11779760621345646,24,37440,3
33,0.0,0.6692243829578518,0.11779760621345646,24,37440,3
34,0.0,0.052499819170327866,0.00034087652232305725,24,37440,3
35,0.0,0.9974965642362272,0.0003408765223230572,24,37440,3
36,0.0,0.03533517750214943,0.051282339114980584,24,37440,3
37,0.0,0.6713683725408389,0.05128233911498058,24,37440,3
38,0.0,0.0,0.0,24,37440,3
39,1.0,1.0,0.0,24,37440,3
40,0.0,0.1528391171473773,0.07370107470423902,24,37440,3
41,0.0,0.9679810752667224,0.073701074704239,24,37440,3
42,0.0,0.0,0.0,24,37440,3
43,1.0,1.0,0.0,24,37440,3
44,0.0,0.0,0.0,24,37440,3
45,1.0,1.0,0.0,24,37440,3
46,0.0,0.0,0.0,24,37440,3
47,1.0,1.0,0.0,24,37440,3
48,0.0,0.4880323576244432,0.20441473081379724,24,37440,3
49,0.0,0.9272614794864421,0.2044147308137972,24,37440,3
50,0.0,0.2413540084541882,0.12169053538289015,24,37440,3
51,0.0,0.4585726160629576,0.12169053538289018,24,37440,3
52,0.0,0.20271899849783537,0.10694352857528241,24,37440,3
53,0.0,0.5502372816369817,0.10694352857528243,24,37440,3
54,0.0,0.37056609323925815,0.16890278413102552,24,37440,3
55,0.0,0.8800944714432382,0.1689027841310255,24,37440,3
56,0.0,0.9280641809776602,0.7768151834208213,24,37440,3
57,0.0,0.9796233021430858,0.7768151834208213,24,37440,3
58,0.0,0.04344483322633419,0.046068755882805984,24,37440,3
59,0.0,0.41272591565017525,0.04606875588280598,24,37440,3
60,0.0,0.6357465075298545,0.29968739025566565,24,37440,3
61,0.0,0.9291679725436335,0.29968739025566554,24,37440,3
62,0.0,0.1476325140888486,0.09742938457092057,24,37440,3
63,0.0,0.7012544419220311,0.09742938457092057,24,37440,3
64,0.0,0.18951673748259612,0.17822791751954406,24,37440,3
65,0.0,0.5144025731670467,0.17822791751954406,24,37440,3
66,0.0,0.047539599221223305,0.031016067560165225,24,37440,3
67,0.0,0.9032523852032428,0.031016067560165218,24,37440,3
68,0.0,0.0,0.0,24,37440,3
69,1.0,1.0,0.0,24,37440,3
70,0.0,0.05202808443782503,0.04232749988035906,24,37440,3
71,0.0,0.3295112014395576,0.042327499880359054,24,37440,3
72,0.0,0.32373316288837584,0.1981933426029821,24,37440,3
73,0.0,0.7688662618598923,0.19819334260298208,24,37440,3
74,0.0,0.017279963289162814,0.04809972872049206,24,37440,3
75,0.0,0.32831930249409347,0.048099728720492056,24,37440,3
76,0.0,0.0,0.0,24,37440,3
77,1.0,1.0,0.0,24,37440,3
78,0.0,0.0,0.0,24,37440,3
