,,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Longest Maximal Independent Set,Longest Maximal Independent Set,Number of Maximal Cliques,Number of Maximal Cliques,Number of Maximal Cliques,Longest Maximal Clique,Longest Maximal Clique,Longest Maximal Clique
,,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Number of Nodes Per Graph,Number of Graphs,,,,,,,,,,,,,,,,,,
10,20,0.4578200796977008,0.4452308933795109,0.08764470021542044,0.5580104920781228,0.5639763485480597,0.060386235970799285,0.03302660402935663,0.026460029343066828,0.025791306320284896,7.3,7.0,0.9787209698591858,580.5,540.0,54.43247869463695,2.3,2.0,0.47016234598162726
20,20,0.41575108924576726,0.41006445732193664,0.07320890905497236,0.5014401956934383,0.4975735188081778,0.05363913536368149,0.02889354771829931,0.022020104403286805,0.019756810403545808,13.8,14.0,1.1964860832322375,4864.0,4940.0,361.55220923125336,2.35,2.0,0.489360484929593
30,20,0.40505109199991807,0.4073998013674446,0.05028304167788699,0.49094635202134,0.49560706934979204,0.047538263762912925,0.027204087558175945,0.02142335200511794,0.01518521117735688,21.3,21.5,1.5593520921743176,16704.0,16530.0,918.9891471783435,2.45,2.0,0.5104177855340405
40,20,0.39146643636490114,0.3897732440454804,0.043011697685982016,0.48030277934681714,0.4871839753488166,0.030673838920474355,0.025619769130544777,0.02394721281227495,0.01266972133433998,28.7,29.0,1.260743306232687,40794.0,40560.0,1912.2772316079895,2.2,2.0,0.41039134083406165
50,20,0.38005715289700726,0.3756812224782121,0.04503430929448058,0.46026020499552117,0.45605154295388317,0.04205467161603418,0.020918338573389934,0.016475766994851725,0.014328301142239817,34.65,34.0,1.7851728502481654,78645.0,78400.0,3068.297144740231,2.25,2.0,0.4442616583193193
60,20,0.38032819154037606,0.38068896019531095,0.04655979993367259,0.45495816396006966,0.46361123811661786,0.03983785711400621,0.019781040564488955,0.015802319316210296,0.009936323951168113,41.95,42.0,2.282081229238369,138591.0,139830.0,5998.240005026036,2.4,2.0,0.5026246899500346
70,20,0.3822838853350975,0.39045733382204106,0.03234290241512149,0.45851059010962836,0.45959726470669215,0.03611251063690847,0.019345518325258527,0.015818667626879335,0.009892720121719708,49.95,50.0,2.6452539426400317,222663.0,222180.0,7498.995090571873,2.3,2.0,0.47016234598162726
80,20,0.3762220191676706,0.37419423179264444,0.036682856930599715,0.4332246968930115,0.4278144111223092,0.036126463185991387,0.013861038721703897,0.011453359845654439,0.00501231311289946,56.85,57.5,3.1668513334889994,332116.0,328640.0,10349.33326100616,2.3,2.0,0.47016234598162726
90,20,0.3882513047460293,0.3817630346286146,0.028598193024013,0.4527300587112183,0.4474500072415871,0.035539492982267856,0.017401337828609236,0.013079378978010332,0.01035900074705102,61.8,62.0,2.6872016358247004,472590.0,472590.0,12189.392282247967,2.45,2.0,0.5104177855340405
100,20,0.3720934264058606,0.36875142601345623,0.031708089249961345,0.4298327921080617,0.4269446182403324,0.02651980065471198,0.01261654804440374,0.013196724619819734,0.0043690957676270886,70.3,70.5,3.1304951684997055,646470.0,648450.0,17026.545837541293,2.55,3.0,0.5104177855340405
