,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Number of Maximal Cliques,Longest Maximal Clique
0,1.0,1.0,0.0,62,574200,3
1,0.0,0.0,0.0,62,574200,3
2,1.0,1.0,0.0,62,574200,3
3,0.0,0.0,0.0,62,574200,3
4,1.0,1.0,0.0,62,574200,3
5,0.0,0.0,0.0,62,574200,3
6,1.0,1.0,0.0,62,574200,3
7,0.0,0.0,0.0,62,574200,3
8,1.0,1.0,0.0,62,574200,3
9,0.0,0.0,0.0,62,574200,3
10,1.0,1.0,0.0,62,574200,3
11,1.0,1.0,0.0,62,574200,3
12,1.0,1.0,0.0,62,574200,3
13,0.0,0.0,0.0,62,574200,3
14,1.0,1.0,0.0,62,574200,3
15,0.0,0.0,0.0,62,574200,3
16,1.0,1.0,0.0,62,574200,3
17,0.0,0.0,0.0,62,574200,3
18,1.0,1.0,0.0,62,574200,3
19,0.0,0.0,0.0,62,574200,3
20,1.0,1.0,0.0,62,574200,3
21,0.0,0.0,0.0,62,574200,3
22,1.0,1.0,0.0,62,574200,3
23,0.0,0.0,0.0,62,574200,3
24,1.0,1.0,0.0,62,574200,3
25,0.0,0.0,0.0,62,574200,3
26,1.0,1.0,0.0,62,574200,3
27,0.0,0.0,0.0,62,574200,3
28,1.0,1.0,0.0,62,574200,3
29,0.0,0.0,0.0,62,574200,3
30,1.0,1.0,0.0,62,574200,3
31,1.0,1.0,0.0,62,574200,3
32,1.0,1.0,0.0,62,574200,3
33,0.0,0.0,0.0,62,574200,3
34,1.0,1.0,0.0,62,574200,3
35,0.0,0.0,0.0,62,574200,3
36,1.0,1.0,0.0,62,574200,3
37,1.0,1.0,0.0,62,574200,3
38,1.0,1.0,0.0,62,574200,3
39,0.0,0.0,0.0,62,574200,3
40,1.0,1.0,0.0,62,574200,3
41,1.0,1.0,0.0,62,574200,3
42,1.0,1.0,0.0,62,574200,3
43,0.0,0.0,0.0,62,574200,3
44,1.0,1.0,0.0,62,574200,3
45,0.0,0.0,0.0,62,574200,3
46,1.0,1.0,0.0,62,574200,3
47,0.0,0.0,0.0,62,574200,3
48,1.0,1.0,0.0,62,574200,3
49,0.0,0.0,0.0,62,574200,3
50,1.0,1.0,0.0,62,574200,3
51,0.0,0.0,0.0,62,574200,3
52,1.0,1.0,0.0,62,574200,3
53,0.0,0.0,0.0,62,574200,3
54,1.0,1.0,0.0,62,574200,3
55,1.0,1.0,0.0,62,574200,3
56,1.0,1.0,0.0,62,574200,3
57,0.0,0.0,0.0,62,574200,3
58,1.0,1.0,0.0,62,574200,3
59,0.0,0.0,0.0,62,574200,3
60,1.0,1.0,0.0,62,574200,3
61,0.0,0.0,0.0,62,574200,3
62,1.0,1.0,0.0,62,574200,3
63,0.0,0.0,0.0,62,574200,3
64,1.0,1.0,0.0,62,574200,3
65,0.0,0.0,0.0,62,574200,3
66,1.0,1.0,0.0,62,574200,3
67,0.0,0.0,0.0,62,574200,3
68,1.0,1.0,0.0,62,574200,3
69,0.0,0.0,0.0,62,574200,3
70,1.0,1.0,0.0,62,574200,3
71,0.0,0.0,0.0,62,574200,3
72,1.0,1.0,0.0,62,574200,3
73,0.0,0.0,0.0,62,574200,3
74,1.0,1.0,0.0,62,574200,3
75,0.0,0.0,0.0,62,574200,3
76,1.0,1.0,0.0,62,574200,3
77,1.0,1.0,0.0,62,574200,3
78,1.0,1.0,0.0,62,574200,3
79,0.0,0.0,0.0,62,574200,3
80,1.0,1.0,0.0,62,574200,3
81,1.0,1.0,0.0,62,574200,3
82,1.0,1.0,0.0,62,574200,3
83,0.0,0.0,0.0,62,574200,3
84,1.0,1.0,0.0,62,574200,3
85,1.0,1.0,0.0,62,574200,3
86,1.0,1.0,0.0,62,574200,3
87,0.0,0.0,0.0,62,574200,3
88,1.0,1.0,0.0,62,574200,3
89,0.0,0.0,0.0,62,574200,3
90,1.0,1.0,0.0,62,574200,3
91,0.0,0.0,0.0,62,574200,3
92,1.0,1.0,0.0,62,574200,3
93,1.0,1.0,0.0,62,574200,3
94,1.0,1.0,0.0,62,574200,3
95,0.0,0.0,0.0,62,574200,3
96,1.0,1.0,0.0,62,574200,3
97,0.0,0.0,0.0,62,574200,3
98,1.0,1.0,0.0,62,574200,3
99,0.0,0.0,0.0,62,574200,3
100,1.0,1.0,0.0,62,574200,3
101,0.0,0.0,0.0,62,574200,3
102,1.0,1.0,0.0,62,574200,3
103,0.0,0.0,0.0,62,574200,3
104,1.0,1.0,0.0,62,574200,3
105,0.0,0.0,0.0,62,574200,3
106,1.0,1.0,0.0,62,574200,3
107,0.0,0.0,0.0,62,574200,3
108,1.0,1.0,0.0,62,574200,3
109,0.0,0.0,0.0,62,574200,3
110,1.0,1.0,0.0,62,574200,3
111,0.0,0.0,0.0,62,574200,3
112,1.0,1.0,0.0,62,574200,3
113,0.0,0.0,0.0,62,574200,3
114,1.0,1.0,0.0,62,574200,3
115,0.0,0.0,0.0,62,574200,3
116,1.0,1.0,0.0,62,574200,3
117,0.0,0.0,0.0,62,574200,3
118,1.0,1.0,0.0,62,574200,3
119,0.0,0.0,0.0,62,574200,3
120,1.0,1.0,0.0,62,574200,3
121,0.0,0.0,0.0,62,574200,3
122,1.0,1.0,0.0,62,574200,3
123,0.0,0.0,0.0,62,574200,3
124,1.0,1.0,0.0,62,574200,3
125,0.0,0.0,0.0,62,574200,3
126,1.0,1.0,0.0,62,574200,3
